PLAYER,TEAM,NUMBER,POSITION,Height,Weight,LAST ATTENDED,COUNTRY,Position
"Precious
Achiuwa",NYK,5,2,80,243,Memphis,Nigeria,IF(G)  = 0 
"Steven
Adams",HOU,12,4,83,265,Pittsburgh,New Zealand,IF(G-F or F-G) = 1
"Bam
Adebayo",MIA,13,3,81,255,Kentucky,USA,IF(F) = 2
"Ochai
Agbaji",TOR,30,0,77,215,Kansas,USA,IF(F-G or G-F) = 3
"Santi
Aldama",MEM,7,3,84,215,Loyola-Maryland,Spain,IF(C) = 4 
"Nickeil
Alexander-Walker",MIN,9,0,77,205,Virginia Tech,Canada,
"Grayson
Allen",PHX,8,0,76,198,Duke,USA,
"Jarrett
Allen",CLE,31,4,81,243,Texas,USA,
"Jose
Alvarado",NOP,15,0,72,179,Georgia Tech,USA,
"Kyle
Anderson",MIN,1,1,81,230,UCLA,USA,
"Giannis
Antetokounmpo",MIL,34,2,83,243,Filathlitikos,Greece,
"Thanasis
Antetokounmpo",MIL,43,2,79,219,Panathinaikos,Greece,
"Cole
Anthony",ORL,50,0,74,185,North Carolina,USA,
"OG
Anunoby",NYK,8,1,79,240,Indiana,United Kingdom,
"Deni
Avdija",WAS,8,2,81,210,Maccabi Tel Aviv,Israel,
"Deandre
Ayton",POR,2,4,84,247,Arizona,Bahamas,
"Udoka
Azubuike",PHX,27,3,83,270,Kansas,Nigeria,
"Ibou
Badji",POR,41,4,84,240,FC Barcelona,Senegal,
"Marvin
Bagley III",WAS,35,2,82,235,Duke,USA,
"Amari
Bailey",CHA,10,0,75,185,UCLA,USA,
"Patrick
Baldwin Jr.",WAS,7,2,81,220,Wisconsin-Milwaukee,USA,
"LaMelo
Ball",CHA,1,0,79,180,Illawarra,USA,
"Lonzo
Ball",CHI,2,0,78,190,UCLA,USA,
"Mo
Bamba",PHI,5,4,84,231,Texas,USA,
"Paolo
Banchero",ORL,5,2,82,250,Duke,USA,
"Desmond
Bane",MEM,22,0,77,215,TCU,USA,
"Dalano
Banton",POR,5,2,80,204,Nebraska,Canada,
"Dominick
Barlow",SAS,26,2,81,215,Overtime Elite,USA,
"Harrison
Barnes",SAC,40,2,80,225,North Carolina,USA,
"Scottie
Barnes",TOR,4,1,79,237,Florida State,USA,
"RJ
Barrett",TOR,9,1,78,214,Duke,Canada,
"Charles
Bassey",SAS,28,3,82,230,Western Kentucky,Nigeria,
"Emoni
Bates",CLE,21,2,80,170,Eastern Michigan,USA,
"Keita
Bates-Diop",BKN,13,2,80,229,Ohio State,USA,
"Nicolas
Batum",PHI,40,1,80,230,Le Mans,France,
"Darius
Bazley",UTA,26,2,81,216,Princeton HS (OH),USA,
"Bradley
Beal",PHX,3,0,76,207,Florida,USA,
"Malik
Beasley",MIL,5,0,76,187,Florida State,USA,
"MarJon
Beauchamp",MIL,3,2,79,199,NBA G League Ignite,USA,
"Jules
Bernard",WAS,14,0,78,210,UCLA,USA,
"Davis
Bertans",CHA,9,2,82,225,Baskonia,Latvia,
"Patrick
Beverley",MIL,21,0,74,180,Arkansas,USA,
"Saddiq
Bey",ATL,41,1,79,215,Villanova,USA,
"Goga
Bitadze",ORL,35,3,82,250,Mega Basket,Georgia,
"Onuralp
Bitim",CHI,17,2,78,215,Bursaspor,Turkey,
"Bismack
Biyombo",OKC,15,4,80,255,Baloncesto Fuenlabrada,DRC,
"Anthony
Black",ORL,0,0,79,200,Arkansas,USA,
"Leaky
Black",CHA,12,2,78,209,North Carolina,USA,
"Buddy
Boeheim",DET,27,2,77,205,Syracuse,USA,
"Bogdan
Bogdanovic",ATL,13,0,77,225,Fenerbahce,Serbia,
"Bojan
Bogdanovic",NYK,44,2,79,226,Fenerbahce,Croatia,
"Bol
Bol",PHX,11,3,87,220,Oregon,Sudan,
"Marques
Bolden",CHA,12,4,82,249,Duke,USA,
"Devin
Booker",PHX,1,0,78,206,Kentucky,USA,
"Brandon
Boston Jr.",LAC,4,0,78,188,Kentucky,USA,
"Chris
Boucher",TOR,25,2,81,200,Oregon,Saint Lucia,
"Jamaree
Bouyea",SAS,21,0,74,180,San Francisco,USA,
"Malaki
Branham",SAS,22,2,76,180,Ohio State,USA,
"Christian
Braun",DEN,0,0,78,220,Kansas,USA,
"Mikal
Bridges",BKN,1,1,78,209,Villanova,USA,
"Miles
Bridges",CHA,0,2,79,225,Michigan State,USA,
"Oshae
Brissett",BOS,12,1,79,210,Syracuse,Canada,
"Malcolm
Brogdon",POR,11,0,76,229,Virginia,USA,
"Dillon
Brooks",HOU,9,1,78,225,Oregon,Canada,
"Bruce
Brown",TOR,11,1,76,202,Miami,USA,
"Jaylen
Brown",BOS,7,1,78,223,California,USA,
"Kendall
Brown",IND,10,0,79,205,Baylor,USA,
"Kobe
Brown",LAC,21,2,79,250,Missouri,USA,
"Moses
Brown",POR,10,4,86,258,UCLA,USA,
"Greg
Brown III",DAL,36,2,79,206,Texas,USA,
"Charlie
Brown Jr.",NYK,4,0,78,199,St. Joseph's (PA),USA,
"Troy
Brown Jr.",DET,7,1,79,215,Oregon,USA,
"Jalen
Brunson",NYK,11,0,74,190,Villanova,USA,
"Thomas
Bryant",MIA,31,3,82,248,Indiana,USA,
"Kobe
Bufkin",ATL,4,0,77,195,Michigan,USA,
"Reggie
Bullock Jr.",HOU,25,1,78,205,North Carolina,USA,
"Alec
Burks",NYK,18,0,77,214,Colorado,USA,
"Jared
Butler",WAS,4,0,75,193,Baylor,USA,
"Jimmy
Butler",MIA,22,2,79,230,Marquette,USA,
"Jamal
Cain",MIA,8,2,78,191,Oakland,USA,
"Kentavious
Caldwell-Pope",DEN,5,0,77,204,Georgia,USA,
"Toumani
Camara",POR,33,2,79,226,Dayton,Belgium,
"Vlatko
Cancar",DEN,31,2,80,236,San Pablo Burgos,Slovenia,
"Clint
Capela",ATL,15,4,82,256,Elan Chalon,Switzerland,
"Jevon
Carter",CHI,5,0,73,200,West Virginia,USA,
"Wendell
Carter Jr.",ORL,34,3,82,270,Duke,USA,
"D.J.
Carton",TOR,3,0,75,200,Marquette,USA,
"Alex
Caruso",CHI,6,0,77,186,Texas A&M,USA,
"Colin
Castleton",LAL,14,4,82,250,Florida,USA,
"Julian
Champagnie",SAS,30,2,79,217,St. John's,USA,
"Justin
Champagnie",WAS,99,1,78,206,Pittsburgh,USA,
"Max
Christie",LAL,10,0,77,190,Michigan State,USA,
"Sidy
Cissoko",SAS,25,0,78,200,NBA G League Ignite,France,
"Jaylen
Clark",MIN,0,0,76,205,UCLA,USA,
"Brandon
Clarke",MEM,15,2,80,215,Gonzaga,Canada,
"Jordan
Clarkson",UTA,0,0,75,194,Missouri,USA,
"Nic
Claxton",BKN,33,4,83,215,Georgia,USA,
"Noah
Clowney",BKN,21,2,81,210,Alabama,USA,
"Amir
Coffey",LAC,7,1,79,210,Minnesota,USA,
"John
Collins",UTA,20,3,81,226,Wake Forest,USA,
"Zach
Collins",SAS,23,3,83,250,Gonzaga,USA,
"Mike
Conley",MIN,10,0,72,175,Ohio State,USA,
"Pat
Connaughton",MIL,24,0,77,209,Notre Dame,USA,
"Bilal
Coulibaly",WAS,0,0,80,195,Metropolitans 92,France,
"Ricky
Council IV",PHI,16,0,78,207,Arkansas,USA,
"Robert
Covington",PHI,33,2,79,209,Tennessee State,USA,
"Torrey
Craig",CHI,13,2,77,221,South Carolina Upstate,USA,
"Jae
Crowder",MIL,99,2,78,235,Marquette,USA,
"Cade
Cunningham",DET,2,0,78,220,Oklahoma State,USA,
"Seth
Curry",CHA,30,0,73,185,Duke,USA,
"Stephen
Curry",GSW,30,0,74,185,Davidson,USA,
"Dyson
Daniels",NOP,11,0,79,199,NBA G League Ignite,Australia,
"Anthony
Davis",LAL,3,3,82,253,Kentucky,USA,
